Ingles,Español,Traduccion
It's 8:30.,Son las 8:30.,Son las 8:30.
It's a TV.,Es un televisor.,Es un televisor.
It's cold.,Hace frío.,Hace frío.
It's cold.,Está frío.,Hace frío.
It's cool.,Está frío.,Está bien.
It's cool.,Está fresco.,Está bien.
It's dark.,Está oscuro.,Está oscuro.
It's done!,¡Está listo!,¡Está hecho!
It's fine.,Está perfecto.,Está bien.
It's good.,Está bien.,Es bueno.
It's good.,Es bueno.,Es bueno.
It's here.,Está aquí.,Está aquí.
It's hers.,Es de ella.,Es de ella.
It's late.,Es tarde.,Es tarde.
It's mine.,Es mío.,Es mío.
It's mine.,Es mía.,Es mío.
It's nice.,Es agradable.,Es bonito.
It's nice.,Hace buen tiempo.,Es bonito.
It's okay.,Vale.,Está bien.
It's okay.,Está bien.,Está bien.
It's ours.,Es nuestro.,Es nuestro.
It's ours.,Es la nuestra.,Es nuestro.
It's over.,Se terminó.,Se acabó.
It's over.,Se acabó.,Se acabó.
It's time.,Ha llegado el momento.,Es la hora.
It's time.,Es la hora.,Es la hora.
It's time.,Es el momento.,Es la hora.
It's time.,Ha llegado la hora.,Es la hora.
It's true!,¡Es verdad!,¡Es verdad!
It's true.,Es verdad.,Es verdad.
It's work.,Es mi trabajo.,Es trabajo.
Keep them.,Guárdalos.,Guárdalos.
Keep them.,Quédatelos.,Guárdalos.
Keep them.,Guárdenselos.,Guárdalos.
Keep this.,Guarda esto.,Quédate con esto.
Keep this.,Guarde esto.,Quédate con esto.
Keep this.,Guardá esto.,Quédate con esto.
Keep this.,Guardad esto.,Quédate con esto.
Keep this.,Guarden esto.,Quédate con esto.
Keep warm.,Mantente caliente.,Mantente caliente.
Keep warm.,Manténgase caliente.,Mantente caliente.
Keep warm.,Mantenete caliente.,Mantente caliente.
Keep warm.,Mantenete abrigado.,Mantente caliente.
Keep warm.,Mantente abrigado.,Mantente caliente.
Keep warm.,Manténgase abrigado.,Mantente caliente.
Keep warm.,Manténganse calientes.,Mantente caliente.
Keep warm.,Manténganse abrigados.,Mantente caliente.
Leave Tom.,Dejalo a Tomás.,Deja a Tom.
Leave Tom.,Déjalo a Tomás.,Deja a Tom.
Leave Tom.,Déjelo a Tomás.,Deja a Tom.
Leave now.,Ahora márchate.,Vete ahora.
Leave now.,Ahora vete.,Vete ahora.
Leave now.,Ahora lárgate.,Vete ahora.
Let me go!,¡Déjame marchar!,¡Suéltame!
Let me go!,¡Suéltame!,¡Suéltame!
Let me go!,¡Déjeme ir!,¡Suéltame!
Let me go.,¡Déjeme ir!,Déjame ir.
Let me in.,Déjame entrar.,Déjame entrar.
Let me in.,Déjeme entrar.,Déjame entrar.
Let us in.,Déjanos entrar.,Déjanos entrar.
Let's eat.,Comamos.,Vamos a comer.
Let's see.,Veamos.,Veamos.
Let's try!,¡Intentémoslo!,¡Probemos!
Lie still.,Túmbate en silencio.,Quédate quieto.
Lie still.,Mantente quieto en el suelo.,Quédate quieto.
Listen up.,Escuchá.,Escuchen.
Look away.,Mirá para otro lado.,Mira hacia otro lado.
Look away.,Mira para otro lado.,Mira hacia otro lado.
Look away.,Mire para otro lado.,Mira hacia otro lado.
Look away.,Miren para otro lado.,Mira hacia otro lado.
Look back!,¡Mira hacia atrás!,¡Mira atrás!
Look back.,Mira atrás.,Mira atrás.
Look back.,Mire atrás.,Mira atrás.
Look back.,Mirad atrás.,Mira atrás.
Look here.,Mira aquí.,Mira aquí.
Look here.,Mirad aquí.,Mira aquí.
Look here.,Miren aquí.,Mira aquí.
Loosen it.,Aflójalo.,Suéltalo.
Loosen it.,Suéltalo.,Suéltalo.
Loosen it.,Suéltala.,Suéltalo.
Loosen it.,Aflójala.,Suéltalo.
Move over.,Hazte a un lado.,Muévete.
Move over.,Deja sitio.,Muévete.
Move over.,Mueve el culo.,Muévete.
Move over.,Deja pasar.,Muévete.
Nice shot!,¡Buen tiro!,¡Buen tiro!
Of course!,¡Por supuesto!,¡Por supuesto!
Open fire!,¡Disparad!,¡Abran fuego!
Open fire!,¡Fuego a discreción!,¡Abran fuego!
Pardon me?,¿Perdona?,¿Perdón?
Please go.,"Por favor, ve.","Por favor, vete."
Please go.,"Por favor, vete.","Por favor, vete."
Please go.,"Por favor, márchate.","Por favor, vete."
Please go.,"Por favor, váyase.","Por favor, vete."
Put it on.,Póntelo.,Póntelo.
Put it on.,Póngaselo.,Póntelo.
Read this.,Lee esto.,Lee esto.
Read this.,Lea esto.,Lee esto.
Read this.,Lean esto.,Lee esto.
Read this.,Leed esto.,Lee esto.
Say hello.,Decí hola.,Di hola.
Search me.,A mí que me registren.,Revísenme.
See above.,Véase arriba.,Véase supra.
See above.,Véase más arriba.,Véase supra.
Seize him!,¡A por él!,¡Agárrenlo!
Seize him!,¡Cogedlo!,¡Agárrenlo!
Seize him!,¡Arrestadlo!,¡Agárrenlo!
Seize him!,¡Prendedlo!,¡Agárrenlo!
Seize him!,¡Capturadlo!,¡Agárrenlo!
Seriously?,¿En serio?,¿En serio?
She tried.,Ella lo intentó.,Lo intentó.
She tried.,Ella lo probó.,Lo intentó.
She walks.,Ella anda.,Ella camina.
She walks.,Ella camina.,Ella camina.
She walks.,Anda.,Ella camina.
She's hot.,Ella es candente.,Está buena.
She's hot.,Está como un tren.,Está buena.
She's hot.,Está de toma pan y moja.,Está buena.
She's hot.,Está buena.,Está buena.
She's hot.,Está que cruje.,Está buena.
Sign here.,Firme aquí.,Firme aquí.
Sign this.,Firma esto.,Firma esto.
Sign this.,Firme esto.,Firma esto.
Sign this.,Firmen esto.,Firma esto.
Sign this.,Firmá esto.,Firma esto.
Sign this.,Firmad esto.,Firma esto.
Sit still.,Siéntate y no te muevas.,Quédate quieto.
Sit still.,Siéntate y quédate quieto.,Quédate quieto.
Sit there.,Sentate ahí.,Siéntate ahí.
Sit tight.,Tú mantente.,No te muevas.
Slow down.,Quieto.,Más despacio.
Slow down.,Más despacio.,Más despacio.
Stay away.,Fuera.,Aléjate.
Stay away.,Aléjate.,Aléjate.
Stay calm.,Mantén la calma.,Mantén la calma.
Stay calm.,Mantené la calma.,Mantén la calma.
Stay here.,Quedate acá.,Quédate aquí.
Step back.,Da un paso atrás.,Retrocede.
Stop here.,Para aquí.,Detente aquí.
Stop here.,Párate aquí.,Detente aquí.
Stop here.,Detente aquí.,Detente aquí.
Stop here.,Deténgase aquí.,Detente aquí.
Stop here.,Deténganse aquí.,Detente aquí.
Stop here.,Paraos aquí.,Detente aquí.
Stop here.,Parad aquí.,Detente aquí.
Stop that.,Para eso.,Basta.
Stop them.,Deténlos.,Deténganlos.
Stop them.,Párales.,Deténganlos.
Take care!,¡Cuidate!,¡Cuídate!
Take care!,¡Te cuidas!,¡Cuídate!
Take care.,Cuídate.,Cuídate.
Take care.,Cuidaos.,Cuídate.
Take mine.,Coge el mío.,Toma el mío.
Take mine.,Toma el mío.,Toma el mío.
Take over.,Asume el mando.,Hazte cargo.
Take over.,Toma el control.,Hazte cargo.
Take over.,Encárgate tú.,Hazte cargo.
Take this.,Toma esto.,Toma esto.
Take this.,Tome esto.,Toma esto.
Take this.,Tomen esto.,Toma esto.
Take this.,Tomá esto.,Toma esto.
Thank you.,¡Gracias!,Gracias.
Thank you.,Gracias a ti.,Gracias.
Thank you.,Gracias.,Gracias.
That's it.,Eso es.,Eso es.
That's me.,Soy yo.,Ese soy yo.
That's me.,Ese soy yo.,Ese soy yo.
Then what?,¿Entonces qué?,¿Entonces qué?
They fell.,Cayeron.,Se cayeron.
They left.,Se fueron.,Se fueron.
They left.,Se marcharon.,Se fueron.
They left.,Se iban.,Se fueron.
They lost.,Perdieron.,Perdieron.
Tom bowed.,Tom se inclinó.,Tom se inclinó.
Tom cared.,Tom se preocupó.,A Tom le importaba.
Tom cared.,Tom se preocupaba.,A Tom le importaba.
Tom cared.,A Tom le importaba.,A Tom le importaba.
Tom cares.,Tom se preocupa.,A Tom le importa.
Tom cares.,A Tom le importa.,A Tom le importa.
Tom cried.,Tom lloró.,Tom lloró.
Tom dozed.,Tom dormitó.,Tom se adormeció.
Tom drove.,Tomás condujo.,Tom conducía.
Tom is OK.,Tom está bien.,Tom está bien.
Tom is in.,Tom está dentro.,Tom está dentro.
Tom is up.,Tom está levantado.,Tom está levantado.
Tom knits.,Tom teje.,Tom teje.
Tom knows.,Tom sabe.,Tom lo sabe.
Tom moved.,Tom se mudó.,Tom se mudó.
Tom moved.,Tom se movió.,Tom se mudó.
Tom rocks.,Tom se mece.,Tom es genial.
Tom stood.,Tom se quedó.,Tom se paró.
Tom swims.,Tom nada.,Tom nada.
Tom swore.,Tom juró.,Tom lo juró.
Tom tried.,Tomás lo intentó.,Tom lo intentó.
Tom tries.,Tomás lo intenta.,Tom lo intenta.
Tom voted.,Tomás votó.,Tom votó.
Tom walks.,Tom camina.,Tom camina.
Tom waved.,Tom saludó.,Tom saludó.
Tom works.,Tomás trabaja.,Tom trabaja.
Tom'll go.,Tom irá.,Tom irá.
Tom's fat.,Tom está gordo.,Tom está gordo.
Tom's mad.,Tom está loco.,Tom está loco.
Tom's sad.,Tom está triste.,Tom está triste.
Tom's shy.,Tom es tímido.,Tom es tímido.
Trust Tom.,Confía en Tom.,Confía en Tom.
Try again.,Inténtalo de nuevo.,Inténtalo de nuevo.
Try again.,Intentadlo otra vez.,Inténtalo de nuevo.
Try again.,Intenta otra vez.,Inténtalo de nuevo.
Try it on.,Pruébatelo.,Pruébatelo.
Wait here.,Espera aquí.,Espera aquí.
Wait here.,Aguarda aquí.,Espera aquí.
Wait here.,Esperen aquí.,Espera aquí.
Wait here.,Esperad aquí.,Espera aquí.
Watch Tom.,Vigila a Tom.,Vigila a Tom.
Watch out!,¡Abusado!,¡Cuidado!
We can go.,Podemos ir.,Podemos irnos.
We can go.,Podemos irnos.,Podemos irnos.
We can go.,Nos podemos marchar.,Podemos irnos.
We failed.,Fallamos.,Fallamos.
We failed.,Hemos fallado.,Fallamos.
We forgot.,Nos olvidamos.,Lo olvidamos.
We saw it.,Lo vimos.,Lo vimos.
We saw it.,Lo veíamos.,Lo vimos.
We talked.,Conversamos.,Hablamos.
We waited.,Nosotros esperamos.,Esperábamos.
We'll see.,Después veremos.,Ya veremos.
We'll see.,Ya veremos.,Ya veremos.
We'll try.,Lo intentaremos.,Lo intentaremos.
We've won!,¡Hemos ganado!,¡Hemos ganado!
What's up?,¿Qué hay?,¿Qué pasa?
Who cares?,¿A quién le importa?,¿A quién le importa?
Who is he?,¿Quién es él?,¿Quién es?
Who is it?,¿Quién es?,¿Quién es?
Who knows?,Aabe...,¿Quién sabe?
Who stood?,¿Quién se quedó?,¿Quién se paró?
Who'll go?,¿Quién irá?,¿Quién irá?
Who's Tom?,¿Quién es Tom?,¿Quién es Tom?
Write Tom.,Escribe a Tom.,Escribe a Tom.
You drive.,Tú maneja.,Tú conduces.
You start.,Tú empieza.,Empieza tú.
You tried.,Lo intentaste.,Lo intentaste.
You're OK.,Tú estás perfectamente.,Estás bien.
You're OK.,Estás perfectamente.,Estás bien.
Aim higher.,Más alto.,Apunta más alto.
Aim higher.,Apuntad más alto.,Apunta más alto.
All aboard!,¡Todos a bordo!,¡Todos a bordo!
Am I right?,¿Tengo razón?,¿Tengo razón?
Am I wrong?,¿Me equivoco?,¿Me equivoco?
Am I wrong?,¿Estoy equivocada?,¿Me equivoco?
Answer Tom.,¡Respóndale a Tomás!,Contesta a Tom.
Answer Tom.,¡Respondele a Tomás!,Contesta a Tom.
Answer Tom.,¡Respóndanle a Tomás!,Contesta a Tom.
Are you 18?,¿Tienes dieciocho?,¿Tienes 18 años?
Are you 18?,¿Has cumplido dieciocho?,¿Tienes 18 años?
Are you OK?,¿Estás bien?,¿Estás bien?
Are you in?,¿Te apuntas?,¿Estás dentro?
Are you in?,¿Estás dentro?,¿Estás dentro?
Are you up?,¿Estás levantado?,¿Estás despierta?
Ask anyone.,Pregúntale a cualquiera.,Pregúntale a cualquiera.
Ask anyone.,Preguntadle a cualquiera.,Pregúntale a cualquiera.
Ask anyone.,Pregúntele a cualquiera.,Pregúntale a cualquiera.
Ask anyone.,Pregúntenle a cualquiera.,Pregúntale a cualquiera.
Ask around.,Pregunta por aquí.,Pregunta por ahí.
Ask around.,Pregunta en los alrededores.,Pregunta por ahí.
Be careful.,¡Ten cuidado!,Ten cuidado.
Be careful.,¡Sé cuidadoso!,Ten cuidado.
Be content.,Estate contento.,Concéntrate.
Be on time.,Llega a tiempo.,Llega a tiempo.
Be on time.,Llegue a tiempo.,Llega a tiempo.
Be patient.,Sea paciente.,Sé paciente.
Be serious.,Sé serio.,Habla en serio.
Birds sing.,Los pájaros cantan.,Los pájaros cantan.
Birds sing.,Los pájaros están cantando.,Los pájaros cantan.
Bring food.,Traed comida.,Trae comida.
Bring help.,Traed ayuda.,Trae ayuda.
Bring wine.,Trae vino.,Trae vino.
Can I come?,¿Puedo ir?,¿Puedo ir?
Can I come?,¿Puedo venir?,¿Puedo ir?
Can I come?,¿Puedo acercarme?,¿Puedo ir?
Can I help?,¿Puedo ayudar?,¿Puedo ayudar?
Can I stay?,¿Me puedo quedar?,¿Puedo quedarme?
Carry this.,Lleva esto.,Lleva esto.
Check that.,Comprobad eso.,Mira eso.
Check this.,Comprueba esto.,Mira esto.
Choose one.,Escoge uno.,Elige uno.
Come again.,Vuelve otra vez.,Vuelve otra vez.
Come alone.,Ven solo.,Ven solo.
Come along.,Vente.,Vamos.
Come along.,Vénganse.,Vamos.
Come early.,Vení temprano.,Ven temprano.
Come early.,Ven temprano.,Ven temprano.
Come early.,Vengan temprano.,Ven temprano.
Come early.,Venga temprano.,Ven temprano.
Come on in!,¡Pásale!,¡Adelante!
Come on in!,¡Pásele!,¡Adelante!
Come on in!,¡Pásenle!,¡Adelante!
Come on in.,Entre.,Pasa.
Come on in.,Pase.,Pasa.
Come quick!,¡Ven rápido!,¡Ven rápido!
Come quick!,¡Vení rápido!,¡Ven rápido!
Come to me.,Ven a mí.,Ven a mí.
Come to me.,Venid a mí.,Ven a mí.
Come to us.,Ven a nosotros.,Ven a nosotros.
Come to us.,Venid a nosotros.,Ven a nosotros.
Cut it out!,¡Ya párale!,¡Basta!
Did Tom go?,¿Fue Tom?,¿Tom se fue?
Do come in!,¡Pásale!,¡Adelante!
Do come in!,¡Pásele!,¡Adelante!
Do come in!,¡Pásenle!,¡Adelante!
Do come in.,Pasa adentro.,Pase.
Do come in.,Entra de una vez.,Pase.
Do come in.,Entra ya.,Pase.
Do come in.,Métete dentro.,Pase.
Do men cry?,¿Los hombres lloran?,¿Lloran los hombres?
Don't come.,No vengas.,No vengas.
Don't jump!,¡No saltéis!,¡No saltes!
Don't look.,No miréis.,No mires.
Don't move!,¡No os mováis!,¡No te muevas!
Don't move.,No te muevas.,No te muevas.
Don't move.,No se mueva.,No te muevas.
Don't move.,No se muevan.,No te muevas.
Don't sing.,No cantes.,No cantes.
Don't sing.,No canten.,No cantes.
Don't stop.,No pares.,No te detengas.
Don't talk!,¡No hables!,¡No hables!
Don't talk.,No hables.,No hables.
Don't wait.,¡No esperes!,No esperes.
Don't wait.,¡No esperen!,No esperes.
Don't wait.,No esperes.,No esperes.
Don't yell.,No grites.,No grites.
Eat slowly.,Come despacio.,Come despacio.
Eat slowly.,¡Comé despacio!,Come despacio.
Fire burns.,El fuego quema.,Quemaduras de fuego.
Follow Tom.,Seguilo a Tomás.,Sigue a Tom.
Follow Tom.,Síguelo a Tomás.,Sigue a Tom.
Follow Tom.,Sígalo a Tomás.,Sigue a Tom.
Follow Tom.,Síganlo a Tomás.,Sigue a Tom.
Follow him.,Síguele.,Síguelo.
Follow him.,Síguelo.,Síguelo.
Forget Tom.,Olvidate de Tomás.,Olvida a Tom.
Forget Tom.,Olvídate de Tomás.,Olvida a Tom.
Forget Tom.,Olvídese de Tomás.,Olvida a Tom.
Forget him.,Olvídenlo.,Olvídalo.
Forgive us.,Perdónanos.,Perdónanos.
Forgive us.,Perdónenos.,Perdónanos.
Get a life.,Consíguete una vida.,Consíguete una vida.
Get inside.,Entra.,Métete dentro.
Get to bed.,Vete a la cama.,Vete a la cama.
Give it up.,Déjalo.,Ríndete.
Go on home.,Vete a casa.,Vete a casa.
Go on home.,Váyase a casa.,Vete a casa.
Go see Tom.,Ve a ver a Tom.,Ve a ver a Tom.
Go to work.,Andá a trabajar.,Ve a trabajar.
God exists.,Dios existe.,Dios existe.
Have faith.,Ten fe.,Ten fe.
Have faith.,Tened fe.,Ten fe.
Have faith.,Tengan fe.,Ten fe.
Have faith.,Confíen.,Ten fe.
He ate out.,Él salió a comer.,Comió fuera.
He coughed.,Tosió.,Tosió.
He gave in.,Él se rindió.,Se rindió.
He gave up.,Se rindió.,Se dio por vencido.
He gave up.,Lo dejó.,Se dio por vencido.
He gave up.,Cedió.,Se dio por vencido.
He gave up.,Tiró la toalla.,Se dio por vencido.
He hung up.,Descolgó.,Colgó.
He hung up.,Él cogió el teléfono.,Colgó.
